Pong
Episode Number,Episode Steps,Reward,Score,Epsilon
1946,2848,7.0,7.0,0.05
1947,2497,10.0,10.0,0.05
1948,2734,11.0,11.0,0.05
1949,2383,14.0,14.0,0.05
1950,2498,11.0,11.0,0.05
1951,2283,14.0,14.0,0.05
1952,2570,12.0,12.0,0.05
1953,2827,5.0,5.0,0.05
1954,2915,9.0,9.0,0.05
1955,2827,7.0,7.0,0.05
1956,2633,13.0,13.0,0.05
1957,2531,11.0,11.0,0.05
1958,2508,12.0,12.0,0.05
1959,2545,11.0,11.0,0.05
1960,2550,7.0,7.0,0.05
1961,2404,11.0,11.0,0.05
1962,2617,11.0,11.0,0.05
1963,2971,4.0,4.0,0.05
1964,2742,10.0,10.0,0.05
1965,2688,7.0,7.0,0.05
1966,2766,4.0,4.0,0.05
1967,2730,11.0,11.0,0.05
1968,2588,13.0,13.0,0.05
1969,3205,2.0,2.0,0.05
1970,2645,7.0,7.0,0.05
1971,2453,12.0,12.0,0.05
1972,2678,11.0,11.0,0.05
1973,2925,13.0,13.0,0.05
1974,2093,17.0,17.0,0.05
1975,2545,12.0,12.0,0.05
1976,2585,11.0,11.0,0.05
1977,2337,15.0,15.0,0.05
1978,2093,17.0,17.0,0.05
1979,2240,17.0,17.0,0.05
1980,2842,9.0,9.0,0.05
1981,2865,6.0,6.0,0.05
1982,2521,12.0,12.0,0.05
1983,2081,18.0,18.0,0.05
1984,2332,14.0,14.0,0.05
1985,2310,16.0,16.0,0.05
1986,2582,8.0,8.0,0.05
1987,2324,15.0,15.0,0.05
1988,2970,8.0,8.0,0.05
1989,2192,18.0,18.0,0.05
1990,2390,17.0,17.0,0.05
1991,2078,20.0,20.0,0.05
1992,2520,13.0,13.0,0.05
1993,2681,13.0,13.0,0.05
1994,2326,17.0,17.0,0.05
1995,2448,12.0,12.0,0.05
1996,2437,15.0,15.0,0.05
1997,2242,18.0,18.0,0.05
1998,2664,9.0,9.0,0.05
1999,2367,12.0,12.0,0.05
2000,2482,13.0,13.0,0.05
2001,2482,10.0,10.0,0.05
2002,2628,4.0,4.0,0.05
2003,2028,-12.0,-12.0,0.05
2004,2359,14.0,14.0,0.05
2005,2275,10.0,10.0,0.05
2006,2324,15.0,15.0,0.05
2007,2786,5.0,5.0,0.05
2008,2550,11.0,11.0,0.05
2009,1995,21.0,21.0,0.05
2010,2517,9.0,9.0,0.05
2011,2484,12.0,12.0,0.05
2012,2734,7.0,7.0,0.05
2013,2540,13.0,13.0,0.05
2014,2902,11.0,11.0,0.05
2015,2140,16.0,16.0,0.05
2016,2399,13.0,13.0,0.05
2017,2383,11.0,11.0,0.05
2018,2798,7.0,7.0,0.05
2019,2466,13.0,13.0,0.05
2020,2446,13.0,13.0,0.05
2021,2467,14.0,14.0,0.05
2022,2273,16.0,16.0,0.05
2023,2842,6.0,6.0,0.05
2024,2827,9.0,9.0,0.05
2025,2551,10.0,10.0,0.05
2026,2323,15.0,15.0,0.05
2027,2524,9.0,9.0,0.05
2028,2485,10.0,10.0,0.05
2029,2178,17.0,17.0,0.05
2030,2402,14.0,14.0,0.05
2031,2475,11.0,11.0,0.05
2032,2392,14.0,14.0,0.05
2033,2194,18.0,18.0,0.05
2034,2802,9.0,9.0,0.05
2035,2034,18.0,18.0,0.05
