Seaquest
Episode Number,Episode Steps,Reward,Score,Epsilon
2271,1579,31.0,620.0,0.05
2272,1527,28.0,560.0,0.05
2273,1489,24.0,480.0,0.05
2274,971,14.0,280.0,0.05
2275,1839,33.0,660.0,0.05
2276,1323,21.0,420.0,0.05
2277,1256,22.0,440.0,0.05
2278,1699,28.0,580.0,0.05
2279,1034,18.0,360.0,0.05
2280,1552,28.0,560.0,0.05
2281,1460,27.0,540.0,0.05
2282,731,12.0,240.0,0.05
2283,821,15.0,300.0,0.05
2284,1524,28.0,560.0,0.05
2285,2104,40.0,800.0,0.05
2286,1776,31.0,620.0,0.05
2287,1372,23.0,460.0,0.05
2288,1419,23.0,460.0,0.05
2289,1330,22.0,440.0,0.05
2290,1501,27.0,540.0,0.05
2291,1970,37.0,740.0,0.05
2292,1087,19.0,380.0,0.05
2293,1140,17.0,340.0,0.05
2294,2128,41.0,820.0,0.05
2295,1438,25.0,500.0,0.05
2296,758,15.0,300.0,0.05
2297,1440,27.0,560.0,0.05
2298,945,18.0,360.0,0.05
2299,991,17.0,360.0,0.05
2300,1596,26.0,520.0,0.05
2301,1016,17.0,340.0,0.05
2302,563,10.0,200.0,0.05
2303,693,10.0,220.0,0.05
2304,1412,25.0,500.0,0.05
2305,951,15.0,300.0,0.05
2306,1266,23.0,460.0,0.05
2307,1015,17.0,340.0,0.05
2308,976,20.0,400.0,0.05
2309,1612,30.0,600.0,0.05
2310,947,17.0,340.0,0.05
2311,1129,21.0,420.0,0.05
2312,520,7.0,140.0,0.05
2313,541,9.0,180.0,0.05
2314,1216,21.0,420.0,0.05
2315,736,12.0,240.0,0.05
2316,975,16.0,320.0,0.05
2317,906,14.0,300.0,0.05
2318,1414,22.0,440.0,0.05
2319,721,11.0,220.0,0.05
2320,1752,32.0,640.0,0.05
2321,1210,20.0,400.0,0.05
2322,1585,29.0,580.0,0.05
2323,1504,26.0,520.0,0.05
2324,1705,25.0,520.0,0.05
2325,1108,20.0,400.0,0.05
2326,1355,26.0,520.0,0.05
2327,1652,32.0,640.0,0.05
2328,1504,24.0,480.0,0.05
2329,1286,23.0,460.0,0.05
2330,874,13.0,280.0,0.05
2331,997,18.0,360.0,0.05
2332,695,11.0,220.0,0.05
2333,877,15.0,300.0,0.05
2334,1048,17.0,340.0,0.05
2335,530,7.0,140.0,0.05
2336,1404,24.0,480.0,0.05
2337,1006,15.0,300.0,0.05
2338,1320,24.0,480.0,0.05
2339,957,17.0,340.0,0.05
2340,737,10.0,200.0,0.05
2341,1240,21.0,420.0,0.05
2342,1456,30.0,600.0,0.05
2343,1475,26.0,520.0,0.05
2344,1769,32.0,640.0,0.05
2345,1194,21.0,420.0,0.05
2346,1820,35.0,700.0,0.05
2347,1001,17.0,340.0,0.05
2348,1463,25.0,500.0,0.05
2349,1335,26.0,520.0,0.05
2350,894,16.0,320.0,0.05
2351,1604,30.0,600.0,0.05
2352,1574,28.0,560.0,0.05
2353,1883,35.0,700.0,0.05
2354,1817,32.0,640.0,0.05
2355,1778,33.0,660.0,0.05
2356,1849,34.0,680.0,0.05
2357,883,14.0,280.0,0.05
2358,885,14.0,280.0,0.05
2359,1017,18.0,360.0,0.05
2360,1297,24.0,480.0,0.05
2361,1805,36.0,720.0,0.05
2362,1322,25.0,500.0,0.05
2363,1163,21.0,420.0,0.05
2364,973,16.0,320.0,0.05
2365,1633,30.0,600.0,0.05
2366,2048,36.0,720.0,0.05
2367,1681,30.0,600.0,0.05
2368,1559,27.0,540.0,0.05
2369,1413,23.0,460.0,0.05
